csv_transform,material_transform,target_transform,model,best_params,cv_score,test_r2,test_r2_inv
csv_log,material_normalize,target_yeojohnson,ElasticNet,"{'regressor__alpha': np.float64(0.1), 'regressor__l1_ratio': 0.5}",0.15107908162448241,0.24453491975036257,0.2445130568148267
csv_log,material_std_then_norm,target_none,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.5392120493283764,0.2884896334310626,0.2884896334310626
csv_log,material_std_then_norm,target_none,Lasso,{'regressor__alpha': np.float64(0.1)},0.09374256263548653,0.15220034491380408,0.15220034491380408
csv_log,material_std_then_norm,target_none,ElasticNet,"{'regressor__alpha': np.float64(0.1), 'regressor__l1_ratio': 0.5}",0.13806376479394494,0.2272190620185881,0.2272190620185881
csv_log,material_std_then_norm,target_log,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.55240310775269,0.2742335013722128,0.27989958282812377
csv_log,material_std_then_norm,target_log,Lasso,{'regressor__alpha': np.float64(0.021544346900318832)},0.0962159050345818,0.13967309780619885,0.12811050558655324
csv_log,material_std_then_norm,target_log,ElasticNet,"{'regressor__alpha': np.float64(0.021544346900318832), 'regressor__l1_ratio': 0.5}",0.14268708656348056,0.2218175760573199,0.22011954149655777
csv_log,material_std_then_norm,target_boxcox,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.5393920605819275,0.2884527745375558,0.28845513526845734
csv_log,material_std_then_norm,target_boxcox,Lasso,{'regressor__alpha': np.float64(0.1)},0.09275501721259047,0.15042633497045865,0.15036628756600567
csv_log,material_std_then_norm,target_boxcox,ElasticNet,"{'regressor__alpha': np.float64(0.1), 'regressor__l1_ratio': 0.5}",0.1375512560891299,0.22680852318609368,0.22678081437788156
csv_log,material_std_then_norm,target_yeojohnson,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.5396505546157584,0.2884044913465349,0.28840078695725346
csv_log,material_std_then_norm,target_yeojohnson,Lasso,{'regressor__alpha': np.float64(0.1)},0.11967146277688959,0.19778158484149677,0.19766494943141732
csv_log,material_std_then_norm,target_yeojohnson,ElasticNet,"{'regressor__alpha': np.float64(0.1), 'regressor__l1_ratio': 0.5}",0.15107908162448264,0.24453491975036268,0.24451305681482682
csv_log,material_norm_then_std,target_none,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.7485637384539057,0.29729782783425496,0.29729782783425496
csv_log,material_norm_then_std,target_none,Lasso,{'regressor__alpha': np.float64(0.1)},0.1033196400174811,0.1564771099095119,0.1564771099095119
csv_log,material_norm_then_std,target_none,ElasticNet,"{'regressor__alpha': np.float64(0.1), 'regressor__l1_ratio': 0.8}",0.14958720511185544,0.20410477908246705,0.20410477908246705
csv_log,material_norm_then_std,target_log,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.7438394429194425,0.28325196429618016,0.28925210102802723
csv_log,material_norm_then_std,target_log,Lasso,{'regressor__alpha': np.float64(0.021544346900318832)},0.10599109474965933,0.14348199239141146,0.13161526978855165
csv_log,material_norm_then_std,target_log,ElasticNet,"{'regressor__alpha': np.float64(0.021544346900318832), 'regressor__l1_ratio': 0.8}",0.14939269677650233,0.1856706187864604,0.17878879777020562
csv_log,material_norm_then_std,target_boxcox,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.7486811115880687,0.29726240024397854,0.29726578043851803
csv_log,material_norm_then_std,target_boxcox,Lasso,{'regressor__alpha': np.float64(0.1)},0.1014911203715619,0.15420478194528997,0.15414415660913638
csv_log,material_norm_then_std,target_boxcox,ElasticNet,"{'regressor__alpha': np.float64(0.1), 'regressor__l1_ratio': 0.8}",0.14798342674355253,0.2022123582266534,0.20217140888238816
